id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,1,Termekek object (1),1,"[{""added"": {}}]",7,1,2023-05-04 19:34:08.705272
2,1,Termekek object (1),2,[],7,1,2023-05-07 16:26:14.700160
3,2,Termek object (2),1,"[{""added"": {}}]",8,1,2023-05-07 19:58:23.283167
4,3,Termek object (3),1,"[{""added"": {}}]",8,1,2023-05-07 20:16:49.207257
5,4,Termek object (4),1,"[{""added"": {}}]",8,1,2023-05-07 20:31:33.056513
6,5,Termek object (5),1,"[{""added"": {}}]",8,1,2023-05-07 20:32:10.149960
7,5,sas,3,,8,1,2023-05-07 20:36:52.145190
8,4,sas,3,,8,1,2023-05-07 20:36:52.150176
9,3,ddd,3,,8,1,2023-05-07 20:36:52.156160
10,2,g,3,,8,1,2023-05-07 20:36:52.160156
11,1,sas,3,,8,1,2023-05-07 20:36:52.165136
12,6,LG Plazma TV,1,"[{""added"": {}}]",8,1,2023-05-07 20:37:09.812794
13,7,Samsung LED TV,1,"[{""added"": {}}]",8,1,2023-05-07 20:37:30.671932
14,8,Xbox 360,1,"[{""added"": {}}]",8,1,2023-05-07 20:37:47.447417
15,9,Playstation PS4,1,"[{""added"": {}}]",8,1,2023-05-07 20:38:21.981764
16,10,ASUS ROG laptop,1,"[{""added"": {}}]",8,1,2023-05-07 20:39:04.181926
17,11,ASUS Zephyrius laptop,1,"[{""added"": {}}]",8,1,2023-05-07 20:39:28.124845
