id,app,name,applied
1,contenttypes,0001_initial,2023-05-04 19:13:18.564305
2,auth,0001_initial,2023-05-04 19:13:18.579270
3,admin,0001_initial,2023-05-04 19:13:18.600208
4,admin,0002_logentry_remove_auto_add,2023-05-04 19:13:18.611179
5,admin,0003_logentry_add_action_flag_choices,2023-05-04 19:13:18.620171
6,contenttypes,0002_remove_content_type_name,2023-05-04 19:13:18.635626
7,auth,0002_alter_permission_name_max_length,2023-05-04 19:13:18.645599
8,auth,0003_alter_user_email_max_length,2023-05-04 19:13:18.655573
9,auth,0004_alter_user_username_opts,2023-05-04 19:13:18.663551
10,auth,0005_alter_user_last_login_null,2023-05-04 19:13:18.674522
11,auth,0006_require_contenttypes_0002,2023-05-04 19:13:18.678512
12,auth,0007_alter_validators_add_error_messages,2023-05-04 19:13:18.687487
13,auth,0008_alter_user_username_max_length,2023-05-04 19:13:18.700472
14,auth,0009_alter_user_last_name_max_length,2023-05-04 19:13:18.710426
15,auth,0010_alter_group_name_max_length,2023-05-04 19:13:18.720402
16,auth,0011_update_proxy_permissions,2023-05-04 19:13:18.726406
17,auth,0012_alter_user_first_name_max_length,2023-05-04 19:13:18.735704
18,sessions,0001_initial,2023-05-04 19:13:18.742556
19,RaktarAPI,0001_initial,2023-05-04 19:33:51.049315
